kepid,is_planet,orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,mission,pl_name
4070376,0.0,1.634614356,0.0197615,0.417475,,,376.5,3.4422,kepler,
4078157,0.0,16.025018977,0.02909,12.407403,,,257.8,3.8828,kepler,
4164994,1.0,10.50682978,0.0133555,0.105491,,,343.4,3.7769,kepler,Kepler-816 b
4480676,0.0,0.711966971,0.0062275,0.367816,,,392.2,2.0221,kepler,
4372768,0.0,15.6402515,0.0008003,0.200775,,,19.3,6.222,kepler,
4074736,,80.9669561,0.004733,0.062648,,,52.0,2.5276,kepler,
4072526,1.0,33.1996355,0.0011125,0.029607,,,32.6,5.022,kepler,Kepler-819 b
4150539,0.0,8.65306587,0.0010481,0.261014,,,43.0,4.486,kepler,
4150539,0.0,94.219289,0.0010259000000000002,0.028332,,,37.6,24.312,kepler,
4150624,0.0,94.225938,0.0005304,0.020742,,,25.4,22.08,kepler,
4155328,1.0,127.8334997,0.0018299000000000002,0.039937,,,76.9,10.914,kepler,Kepler-820 b
4077526,1.0,10.21864532,0.00044530000000000004,0.019663,,,26.6,3.802,kepler,Kepler-58 b
4077526,1.0,15.573637,0.00046810000000000005,0.02484,,,24.7,5.326,kepler,Kepler-58 c
4077526,1.0,40.1015561,0.00055,0.024714,,,19.0,5.246,kepler,Kepler-58 d
10271806,1.0,5.924993927,0.0016081,0.042444,,,68.5,2.8874,kepler,Kepler-224 c
10271806,1.0,11.34934848,0.0012498,0.03229,,,41.7,3.1101,kepler,Kepler-224 d
10271806,1.0,3.13295351,0.0004352,0.018691,,,23.9,2.2207,kepler,Kepler-224 b
10271806,1.0,18.64349986,0.0008133999999999999,0.028845,,,16.1,1.8491,kepler,Kepler-224 e
10272442,1.0,24.5434566,0.0011512999999999998,0.031008,,,64.5,7.2518,kepler,Kepler-657 b
10358759,1.0,13.28689997,0.0010396,0.029278,,,41.3,3.2825,kepler,Kepler-29 c
10386984,1.0,1.287076693,0.0007294,0.024255,,,65.2,1.4942,kepler,Kepler-658 b
10395381,1.0,17.6717714,0.0009186,0.032562,,,36.2,3.4202,kepler,Kepler-659 b
10418797,0.0,23.355341391,0.038524,0.218013,,,1144.3,4.60672,kepler,
10419211,0.0,11.521446064,0.017984299999999998,1.625358,,,622.1,3.6399,kepler,
10583180,0.0,2.696370652,0.00039789999999999997,0.017673,,,48.2,3.6129,kepler,
10601284,1.0,5.349553819,0.000831,0.025706,,,60.6,3.0278,kepler,Kepler-226 c
10601284,1.0,3.94105221,0.0003633,0.017105,,,28.9,2.5984,kepler,Kepler-226 b
10601284,1.0,8.10904807,0.0002174,0.013127,,,14.1,3.596,kepler,Kepler-226 d
10662202,1.0,21.67699193,0.0008572,0.032666,,,34.3,3.4555,kepler,Kepler-662 b
10910878,1.0,16.06864674,0.0049143,0.062161,,,161.9,3.5347,kepler,Kepler-229 c
10910878,1.0,41.19725502,0.0022139,0.041693,,,51.2,4.6297,kepler,Kepler-229 d
10910878,1.0,6.252962249,0.0010369,0.028604,,,47.1,2.5819,kepler,Kepler-229 b
10987985,1.0,16.01308419,0.0011219000000000001,0.034369,,,33.2,3.2554,kepler,Kepler-665 b
11018648,1.0,32.62876672,0.0018047999999999999,0.03852,,,80.0,4.7971,kepler,Kepler-230 b
11018648,1.0,91.7732862,0.000652,0.02432,,,19.1,6.473,kepler,Kepler-230 c
11138155,1.0,4.959319244,0.009802,0.103379,,,696.5,2.22739,kepler,Kepler-1976 b
5456651,1.0,56.2279271,0.0008627000000000001,0.028683,,,20.9,3.57,kepler,Kepler-239 c
5481416,0.0,2.384052875,0.0012680999999999999,0.222925,,,50.5,3.0918,kepler,
5531576,1.0,7.953547,0.0008754,0.026448,,,38.4,2.6312,kepler,Kepler-240 c
5531576,1.0,4.14451656,0.00039180000000000004,0.017441,,,22.8,2.3421,kepler,Kepler-240 b
5534814,0.0,4.859386384,0.0060443,0.355227,,,269.7,2.2757,kepler,
5649215,0.0,2.446737317,0.0011779000000000002,0.278526,,,110.2,4.7211,kepler,
5651104,1.0,3.04033046,0.0108588,0.104023,,,568.2,1.8411,kepler,Kepler-695 b
8150320,1.0,27.9541337,0.0009425,0.026973,,,25.4,3.95,kepler,Kepler-55 b
8150320,1.0,42.1406089,0.0008955,0.026274,,,21.6,5.083,kepler,Kepler-55 c
8150320,1.0,4.617490562,0.0005757999999999999,0.023024,,,28.1,2.2618,kepler,Kepler-55 e
8150320,1.0,10.19849255,0.0006341000000000001,0.024778,,,21.4,2.4283,kepler,Kepler-55 f
8180063,0.0,5.795063956,0.0016929,0.047975,,,119.4,3.2496,kepler,
8226994,1.0,7.15681552,0.000867,0.026979,,,47.7,2.5882,kepler,Kepler-250 c
8226994,1.0,17.64830851,0.0007633,0.026581,,,23.8,2.0873,kepler,Kepler-250 d
9818381,1.0,3.024092505,0.007765,0.081878,,,1225.3,2.8021,kepler,Kepler-43 b
4044005,0.0,17.512014768,0.0045116999999999996,0.110483,,,322.3,1.8248,kepler,
11502218,0.0,3.9886021,0.0006735,0.023067,,,37.1,1.7376,kepler,
11180361,,0.533059312,0.0014958,0.301918,,,179.6,1.8621,kepler,
11013201,,13.118962443,0.0003722,0.017826,,,267.4,4.3045,kepler,
11013201,0.0,7.82187328,4.22e-05,0.006005,,,37.2,3.8417,kepler,
